YearStart,Topic,LocationAbbr,YearlyAvgPrevalence,RecordCount,PrevYearPrevalence,YoY_Change,YoY_ChangePercent,QualityStatus
2022,Asthma,MS,9.32,13,10.31,-0.99,-9.6,LOW_RECORDS
2015,Cancer,MS,760.89,120,,,,MISSING_STATES
2016,Cancer,MS,718.1,126,760.89,-42.79,-5.62,MISSING_STATES
2020,Cancer,MS,72.13,22,718.1,-645.97,-89.96,VALID
2022,Cancer,MS,61.09,16,72.13,-11.04,-15.31,VALID
2019,Cardiovascular Disease,MS,632.93,145,,,,VALID
2020,Cardiovascular Disease,MS,993.54,90,632.93,360.61,56.97,MISSING_STATES
2021,Cardiovascular Disease,MS,645.77,145,993.54,-347.77,-35.0,VALID
2019,Diabetes,MS,358.16,56,,,,VALID
2020,Diabetes,MS,421.59,68,358.16,63.43,17.71,VALID
2021,Diabetes,MS,469.56,66,421.59,47.97,11.38,VALID
2022,Diabetes,MS,15.43,13,469.56,-454.13,-96.71,LOW_RECORDS
2019,Asthma,MT,12.2,16,,,,VALID
2020,Asthma,MT,12.96,14,12.2,0.76,6.23,VALID
2021,Asthma,MT,12.17,16,12.96,-0.79,-6.1,VALID
2022,Asthma,MT,13.37,17,12.17,1.2,9.86,LOW_RECORDS
2015,Cancer,MT,348.43,111,,,,MISSING_STATES
2016,Cancer,MT,351.98,108,348.43,3.55,1.02,MISSING_STATES
2020,Cancer,MT,66.73,26,351.98,-285.25,-81.04,VALID
2022,Cancer,MT,59.49,18,66.73,-7.24,-10.85,VALID
2019,Cardiovascular Disease,MT,203.35,142,,,,VALID
2020,Cardiovascular Disease,MT,338.45,79,203.35,135.1,66.44,MISSING_STATES
2021,Cardiovascular Disease,MT,212.51,145,338.45,-125.94,-37.21,VALID
2019,Diabetes,MT,120.03,48,,,,VALID
2020,Diabetes,MT,149.13,53,120.03,29.1,24.24,VALID
2021,Diabetes,MT,150.01,58,149.13,0.88,0.59,VALID
2022,Diabetes,MT,9.24,17,150.01,-140.77,-93.84,LOW_RECORDS
2019,Asthma,NC,14.03,35,,,,VALID
2020,Asthma,NC,17.74,37,14.03,3.71,26.44,VALID
2021,Asthma,NC,16.4,36,17.74,-1.34,-7.55,VALID
2022,Asthma,NC,9.68,17,16.4,-6.72,-40.98,LOW_RECORDS
2015,Cancer,NC,1792.68,153,,,,MISSING_STATES
2016,Cancer,NC,1794.68,153,1792.68,2.0,0.11,MISSING_STATES
2020,Cancer,NC,72.94,30,1794.68,-1721.74,-95.94,VALID
2022,Cancer,NC,61.6,18,72.94,-11.34,-15.55,VALID
2019,Cardiovascular Disease,NC,1250.78,187,,,,VALID
2020,Cardiovascular Disease,NC,1902.01,117,1250.78,651.23,52.07,MISSING_STATES
2021,Cardiovascular Disease,NC,1209.89,194,1902.01,-692.12,-36.39,VALID
2019,Diabetes,NC,511.35,74,,,,VALID
2020,Diabetes,NC,687.25,68,511.35,175.9,34.4,VALID
2021,Diabetes,NC,741.29,71,687.25,54.04,7.86,VALID
2022,Diabetes,NC,13.14,18,741.29,-728.15,-98.23,LOW_RECORDS
2019,Asthma,ND,8.88,11,,,,VALID
2020,Asthma,ND,12.05,13,8.88,3.17,35.7,VALID
2021,Asthma,ND,9.63,12,12.05,-2.42,-20.08,VALID
2022,Asthma,ND,11.03,13,9.63,1.4,14.54,LOW_RECORDS
2015,Cancer,ND,207.98,93,,,,MISSING_STATES
2016,Cancer,ND,207.52,93,207.98,-0.46,-0.22,MISSING_STATES
2020,Cancer,ND,71.78,21,207.52,-135.74,-65.41,VALID
2022,Cancer,ND,63.36,14,71.78,-8.42,-11.73,VALID
2019,Cardiovascular Disease,ND,175.72,126,,,,VALID
2020,Cardiovascular Disease,ND,267.31,71,175.72,91.59,52.12,MISSING_STATES
2021,Cardiovascular Disease,ND,159.45,134,267.31,-107.86,-40.35,VALID
2019,Diabetes,ND,115.22,37,,,,VALID
2020,Diabetes,ND,140.27,40,115.22,25.05,21.74,VALID
2021,Diabetes,ND,125.55,42,140.27,-14.72,-10.49,VALID
2022,Diabetes,ND,11.53,13,125.55,-114.02,-90.82,LOW_RECORDS
2019,Asthma,NE,10.9,27,,,,VALID
2020,Asthma,NE,10.33,21,10.9,-0.57,-5.23,VALID
2021,Asthma,NE,9.52,21,10.33,-0.81,-7.84,VALID
2022,Asthma,NE,7.68,13,9.52,-1.84,-19.33,LOW_RECORDS
2015,Cancer,NE,441.43,129,,,,MISSING_STATES
2016,Cancer,NE,435.85,129,441.43,-5.58,-1.26,MISSING_STATES
2020,Cancer,NE,67.65,31,435.85,-368.2,-84.48,VALID
2022,Cancer,NE,57.88,18,67.65,-9.77,-14.44,VALID
2019,Cardiovascular Disease,NE,241.85,176,,,,VALID
2020,Cardiovascular Disease,NE,427.76,88,241.85,185.91,76.87,MISSING_STATES
2021,Cardiovascular Disease,NE,248.67,175,427.76,-179.09,-41.87,VALID
2019,Diabetes,NE,179.32,62,,,,VALID
2020,Diabetes,NE,244.45,61,179.32,65.13,36.32,VALID
2021,Diabetes,NE,217.87,67,244.45,-26.58,-10.87,VALID
2022,Diabetes,NE,13.52,18,217.87,-204.35,-93.79,LOW_RECORDS
2019,Asthma,NH,11.88,10,,,,VALID
2020,Asthma,NH,13.89,13,11.88,2.01,16.92,VALID
2021,Asthma,NH,12.82,12,13.89,-1.07,-7.7,VALID
2022,Asthma,NH,14.18,14,12.82,1.36,10.61,LOW_RECORDS
2015,Cancer,NH,483.09,99,,,,MISSING_STATES
2016,Cancer,NH,480.85,99,483.09,-2.24,-0.46,MISSING_STATES
2020,Cancer,NH,74.8,16,480.85,-406.05,-84.44,VALID
2022,Cancer,NH,67.45,12,74.8,-7.35,-9.83,VALID
2019,Cardiovascular Disease,NH,321.22,110,,,,VALID
2020,Cardiovascular Disease,NH,484.07,67,321.22,162.85,50.7,MISSING_STATES
2021,Cardiovascular Disease,NH,278.75,131,484.07,-205.32,-42.42,VALID
2019,Diabetes,NH,154.01,37,,,,VALID
2020,Diabetes,NH,185.44,36,154.01,31.43,20.41,VALID
2021,Diabetes,NH,190.07,38,185.44,4.63,2.5,VALID
2022,Diabetes,NH,9.52,11,190.07,-180.55,-94.99,LOW_RECORDS
2019,Asthma,NJ,19.62,24,,,,VALID
2020,Asthma,NJ,18.13,42,19.62,-1.49,-7.59,VALID
2021,Asthma,NJ,16.43,42,18.13,-1.7,-9.38,VALID
2022,Asthma,NJ,9.64,16,16.43,-6.79,-41.33,LOW_RECORDS
2015,Cancer,NJ,1694.99,141,,,,MISSING_STATES
2016,Cancer,NJ,1673.86,141,1694.99,-21.13,-1.25,MISSING_STATES
2020,Cancer,NJ,72.26,37,1673.86,-1601.6,-95.68,VALID
2022,Cancer,NJ,60.57,20,72.26,-11.69,-16.18,VALID
2019,Cardiovascular Disease,NJ,1967.32,108,,,,VALID
2020,Cardiovascular Disease,NJ,1826.17,111,1967.32,-141.15,-7.17,MISSING_STATES
2021,Cardiovascular Disease,NJ,1150.49,179,1826.17,-675.68,-37.0,VALID
2019,Diabetes,NJ,442.6,56,,,,VALID
2020,Diabetes,NJ,486.29,77,442.6,43.69,9.87,VALID
2021,Diabetes,NJ,400.07,76,486.29,-86.22,-17.73,VALID
2022,Diabetes,NJ,11.45,17,400.07,-388.62,-97.14,LOW_RECORDS
2019,Asthma,NM,8.93,17,,,,VALID
2020,Asthma,NM,11.11,22,8.93,2.18,24.41,VALID
2021,Asthma,NM,10.08,20,11.11,-1.03,-9.27,VALID
2022,Asthma,NM,10.35,15,10.08,0.27,2.68,LOW_RECORDS
2015,Cancer,NM,381.83,141,,,,MISSING_STATES
2016,Cancer,NM,376.32,141,381.83,-5.51,-1.44,MISSING_STATES
2020,Cancer,NM,69.33,28,376.32,-306.99,-81.58,VALID
2022,Cancer,NM,57.16,18,69.33,-12.17,-17.55,VALID
2019,Cardiovascular Disease,NM,296.78,176,,,,VALID
2020,Cardiovascular Disease,NM,451.99,105,296.78,155.21,52.3,MISSING_STATES
2021,Cardiovascular Disease,NM,284.37,178,451.99,-167.62,-37.08,VALID
2019,Diabetes,NM,156.74,65,,,,VALID
2020,Diabetes,NM,208.48,70,156.74,51.74,33.01,VALID
2021,Diabetes,NM,223.6,68,208.48,15.12,7.25,VALID
2022,Diabetes,NM,14.78,18,223.6,-208.82,-93.39,LOW_RECORDS
2019,Asthma,NV,10.08,17,,,,VALID
2020,Asthma,NV,11.13,23,10.08,1.05,10.42,VALID
2021,Asthma,NV,9.64,15,11.13,-1.49,-13.39,VALID
2022,Asthma,NV,10.23,15,9.64,0.59,6.12,LOW_RECORDS
2015,Cancer,NV,487.1,150,,,,MISSING_STATES
2016,Cancer,NV,214.77,126,487.1,-272.33,-55.91,MISSING_STATES
2020,Cancer,NV,68.63,24,214.77,-146.14,-68.04,VALID
2022,Cancer,NV,56.78,16,68.63,-11.85,-17.27,VALID
2019,Cardiovascular Disease,NV,393.62,193,,,,VALID
2020,Cardiovascular Disease,NV,595.19,123,393.62,201.57,51.21,MISSING_STATES
2021,Cardiovascular Disease,NV,398.13,196,595.19,-197.06,-33.11,VALID
2019,Diabetes,NV,165.35,70,,,,VALID
2020,Diabetes,NV,216.64,73,165.35,51.29,31.02,VALID
2021,Diabetes,NV,241.75,76,216.64,25.11,11.59,VALID
2022,Diabetes,NV,10.51,15,241.75,-231.24,-95.65,LOW_RECORDS
2019,Asthma,NY,32.05,43,,,,VALID
2020,Asthma,NY,36.4,43,32.05,4.35,13.57,VALID
2021,Asthma,NY,27.83,44,36.4,-8.57,-23.54,VALID
2022,Asthma,NY,11.21,19,27.83,-16.62,-59.72,LOW_RECORDS
2015,Cancer,NY,3324.63,153,,,,MISSING_STATES
2016,Cancer,NY,3338.85,150,3324.63,14.22,0.43,MISSING_STATES
2020,Cancer,NY,74.72,37,3338.85,-3264.13,-97.76,VALID
2022,Cancer,NY,61.75,26,74.72,-12.97,-17.36,VALID
2019,Cardiovascular Disease,NY,2436.58,199,,,,VALID
2020,Cardiovascular Disease,NY,4105.93,117,2436.58,1669.35,68.51,MISSING_STATES
2021,Cardiovascular Disease,NY,2245.2,202,4105.93,-1860.73,-45.32,VALID
2019,Diabetes,NY,735.25,83,,,,VALID
2020,Diabetes,NY,1101.88,85,735.25,366.63,49.86,VALID
2021,Diabetes,NY,936.21,84,1101.88,-165.67,-15.04,VALID
2022,Diabetes,NY,13.2,20,936.21,-923.01,-98.59,LOW_RECORDS
2019,Asthma,OH,19.68,37,,,,VALID
2020,Asthma,OH,21.49,37,19.68,1.81,9.2,VALID
2021,Asthma,OH,19.55,39,21.49,-1.94,-9.03,VALID
2022,Asthma,OH,12.76,18,19.55,-6.79,-34.73,LOW_RECORDS
2015,Cancer,OH,2293.84,144,,,,MISSING_STATES
2016,Cancer,OH,2274.55,144,2293.84,-19.29,-0.84,MISSING_STATES
2020,Cancer,OH,73.19,32,2274.55,-2201.36,-96.78,VALID
2022,Cancer,OH,60.2,20,73.19,-12.99,-17.75,VALID
2019,Cardiovascular Disease,OH,1868.81,177,,,,VALID
2020,Cardiovascular Disease,OH,2964.54,108,1868.81,1095.73,58.63,MISSING_STATES
2021,Cardiovascular Disease,OH,1773.02,187,2964.54,-1191.52,-40.19,VALID
2019,Diabetes,OH,781.25,66,,,,VALID
2020,Diabetes,OH,973.2,66,781.25,191.95,24.57,VALID
2021,Diabetes,OH,1032.39,65,973.2,59.19,6.08,VALID
2022,Diabetes,OH,13.03,18,1032.39,-1019.36,-98.74,LOW_RECORDS
2019,Asthma,OK,12.86,29,,,,VALID
2020,Asthma,OK,13.29,34,12.86,0.43,3.34,VALID
2021,Asthma,OK,12.96,29,13.29,-0.33,-2.48,VALID
2022,Asthma,OK,12.65,19,12.96,-0.31,-2.39,LOW_RECORDS
2015,Cancer,OK,736.51,150,,,,MISSING_STATES
2016,Cancer,OK,703.5,156,736.51,-33.01,-4.48,MISSING_STATES
2020,Cancer,OK,66.32,37,703.5,-637.18,-90.57,VALID
2022,Cancer,OK,51.96,20,66.32,-14.36,-21.65,VALID
2019,Cardiovascular Disease,OK,566.43,204,,,,VALID
2020,Cardiovascular Disease,OK,899.39,123,566.43,332.96,58.78,MISSING_STATES
2021,Cardiovascular Disease,OK,586.6,199,899.39,-312.79,-34.78,VALID
2019,Diabetes,OK,440.95,70,,,,VALID
2020,Diabetes,OK,552.13,76,440.95,111.18,25.21,VALID
2021,Diabetes,OK,576.17,82,552.13,24.04,4.35,VALID
2022,Diabetes,OK,13.75,19,576.17,-562.42,-97.61,LOW_RECORDS
2019,Asthma,OR,13.16,27,,,,VALID
2020,Asthma,OR,12.76,28,13.16,-0.4,-3.04,VALID
2021,Asthma,OR,15.91,30,12.76,3.15,24.69,VALID
2022,Asthma,OR,12.55,16,15.91,-3.36,-21.12,LOW_RECORDS
2015,Cancer,OR,788.51,144,,,,MISSING_STATES
2016,Cancer,OR,777.36,144,788.51,-11.15,-1.41,MISSING_STATES
2020,Cancer,OR,72.09,21,777.36,-705.27,-90.73,VALID
2022,Cancer,OR,61.96,16,72.09,-10.13,-14.05,VALID
2019,Cardiovascular Disease,OR,422.98,196,,,,VALID
2020,Cardiovascular Disease,OR,634.63,123,422.98,211.65,50.04,MISSING_STATES
2021,Cardiovascular Disease,OR,452.89,191,634.63,-181.74,-28.64,VALID
2019,Diabetes,OR,295.24,75,,,,VALID
2020,Diabetes,OR,338.15,76,295.24,42.91,14.53,VALID
2021,Diabetes,OR,376.98,77,338.15,38.83,11.48,VALID
2022,Diabetes,OR,11.39,15,376.98,-365.59,-96.98,LOW_RECORDS
2019,Asthma,PA,18.74,35,,,,VALID
2020,Asthma,PA,24.2,35,18.74,5.46,29.14,VALID
2021,Asthma,PA,21.3,35,24.2,-2.9,-11.98,VALID
2022,Asthma,PA,11.29,15,21.3,-10.01,-47.0,LOW_RECORDS
2015,Cancer,PA,2618.14,144,,,,MISSING_STATES
2016,Cancer,PA,2573.15,144,2618.14,-44.99,-1.72,MISSING_STATES
2020,Cancer,PA,76.22,26,2573.15,-2496.93,-97.04,VALID
2022,Cancer,PA,63.76,16,76.22,-12.46,-16.35,VALID
2019,Cardiovascular Disease,PA,2094.06,175,,,,VALID
2020,Cardiovascular Disease,PA,3215.96,108,2094.06,1121.9,53.58,MISSING_STATES
2021,Cardiovascular Disease,PA,1981.14,180,3215.96,-1234.82,-38.4,VALID
2019,Diabetes,PA,696.47,69,,,,VALID
2020,Diabetes,PA,841.47,76,696.47,145.0,20.82,VALID
2021,Diabetes,PA,855.78,74,841.47,14.31,1.7,VALID
2022,Diabetes,PA,12.24,15,855.78,-843.54,-98.57,LOW_RECORDS
2019,Asthma,PR,10.73,10,,,,VALID
2020,Asthma,PR,10.47,10,10.73,-0.26,-2.42,VALID
2021,Asthma,PR,11.44,10,10.47,0.97,9.26,VALID
2022,Asthma,PR,12.36,11,11.44,0.92,8.04,LOW_RECORDS
2015,Cancer,PR,217290.96,9,,,,MISSING_STATES
2016,Cancer,PR,214746.91,9,217290.96,-2544.05,-1.17,MISSING_STATES
2020,Cancer,PR,74.88,16,214746.91,-214672.03,-99.97,VALID
2022,Cancer,PR,61.11,12,74.88,-13.77,-18.39,VALID
2019,Cardiovascular Disease,PR,49.47,44,,,,VALID
2021,Cardiovascular Disease,PR,52.53,44,49.47,3.06,6.19,VALID
2019,Diabetes,PR,15.57,13,,,,VALID
2020,Diabetes,PR,15.15,13,15.57,-0.42,-2.7,VALID
2021,Diabetes,PR,15.86,13,15.15,0.71,4.69,VALID
2022,Diabetes,PR,17.82,11,15.86,1.96,12.36,LOW_RECORDS
2019,Asthma,RI,12.79,15,,,,VALID
2020,Asthma,RI,14.56,16,12.79,1.77,13.84,VALID
2021,Asthma,RI,14.5,16,14.56,-0.06,-0.41,VALID
2022,Asthma,RI,13.82,16,14.5,-0.68,-4.69,LOW_RECORDS
2015,Cancer,RI,320.1,123,,,,MISSING_STATES
2016,Cancer,RI,297.44,129,320.1,-22.66,-7.08,MISSING_STATES
2020,Cancer,RI,77.34,26,297.44,-220.1,-74.0,VALID
2022,Cancer,RI,70.24,16,77.34,-7.1,-9.18,VALID
2019,Cardiovascular Disease,RI,235.19,156,,,,VALID
2020,Cardiovascular Disease,RI,344.94,89,235.19,109.75,46.66,MISSING_STATES
2021,Cardiovascular Disease,RI,228.17,156,344.94,-116.77,-33.85,VALID
2019,Diabetes,RI,111.9,49,,,,VALID
2020,Diabetes,RI,177.38,43,111.9,65.48,58.52,VALID
2021,Diabetes,RI,141.01,43,177.38,-36.37,-20.5,VALID
2022,Diabetes,RI,12.18,18,141.01,-128.83,-91.36,LOW_RECORDS
2019,Asthma,SC,12.02,27,,,,VALID
2020,Asthma,SC,14.25,31,12.02,2.23,18.55,VALID
2021,Asthma,SC,12.3,35,14.25,-1.95,-13.68,VALID
2022,Asthma,SC,9.66,17,12.3,-2.64,-21.46,LOW_RECORDS
2015,Cancer,SC,1019.86,138,,,,MISSING_STATES
2016,Cancer,SC,1019.33,138,1019.86,-0.53,-0.05,MISSING_STATES
2020,Cancer,SC,76.0,22,1019.33,-943.33,-92.54,VALID
2022,Cancer,SC,62.5,20,76.0,-13.5,-17.76,VALID
2019,Cardiovascular Disease,SC,745.72,166,,,,VALID
2020,Cardiovascular Disease,SC,1219.38,99,745.72,473.66,63.52,MISSING_STATES
2021,Cardiovascular Disease,SC,737.5,180,1219.38,-481.88,-39.52,VALID
2019,Diabetes,SC,333.65,66,,,,VALID
2020,Diabetes,SC,502.13,62,333.65,168.48,50.5,VALID
2021,Diabetes,SC,618.06,64,502.13,115.93,23.09,VALID
2022,Diabetes,SC,13.31,19,618.06,-604.75,-97.85,LOW_RECORDS
2019,Asthma,SD,9.42,12,,,,VALID
2020,Asthma,SD,9.53,12,9.42,0.11,1.17,VALID
2021,Asthma,SD,10.43,13,9.53,0.9,9.44,VALID
2022,Asthma,SD,8.81,13,10.43,-1.62,-15.53,LOW_RECORDS
2015,Cancer,SD,283.9,111,,,,MISSING_STATES
2016,Cancer,SD,284.76,111,283.9,0.86,0.3,MISSING_STATES
2020,Cancer,SD,73.6,27,284.76,-211.16,-74.15,VALID
2022,Cancer,SD,59.15,20,73.6,-14.45,-19.63,VALID
2019,Cardiovascular Disease,SD,203.8,130,,,,VALID
2020,Cardiovascular Disease,SD,310.54,76,203.8,106.74,52.37,MISSING_STATES
2021,Cardiovascular Disease,SD,182.2,141,310.54,-128.34,-41.33,VALID
2019,Diabetes,SD,145.87,43,,,,VALID
2020,Diabetes,SD,210.1,44,145.87,64.23,44.03,VALID
2021,Diabetes,SD,160.93,51,210.1,-49.17,-23.4,VALID
2022,Diabetes,SD,10.49,14,160.93,-150.44,-93.48,LOW_RECORDS
2019,Asthma,TN,12.7,36,,,,VALID
2020,Asthma,TN,15.93,34,12.7,3.23,25.43,VALID
2021,Asthma,TN,15.3,37,15.93,-0.63,-3.95,VALID
2022,Asthma,TN,13.15,15,15.3,-2.15,-14.05,LOW_RECORDS
2015,Cancer,TN,1373.57,138,,,,MISSING_STATES
2016,Cancer,TN,1366.49,138,1373.57,-7.08,-0.52,MISSING_STATES
2020,Cancer,TN,74.21,22,1366.49,-1292.28,-94.57,VALID
2022,Cancer,TN,58.44,16,74.21,-15.77,-21.25,VALID
2019,Cardiovascular Disease,TN,1075.71,174,,,,VALID
2020,Cardiovascular Disease,TN,1736.66,105,1075.71,660.95,61.44,MISSING_STATES
2021,Cardiovascular Disease,TN,1136.95,169,1736.66,-599.71,-34.53,VALID
2019,Diabetes,TN,470.26,69,,,,VALID
2020,Diabetes,TN,607.49,68,470.26,137.23,29.18,VALID
2021,Diabetes,TN,669.74,67,607.49,62.25,10.25,VALID
2022,Diabetes,TN,15.98,17,669.74,-653.76,-97.61,LOW_RECORDS
2019,Asthma,TX,24.11,39,,,,VALID
2020,Asthma,TX,29.7,38,24.11,5.59,23.19,VALID
2021,Asthma,TX,34.12,40,29.7,4.42,14.88,VALID
2022,Asthma,TX,8.72,17,34.12,-25.4,-74.44,LOW_RECORDS
2015,Cancer,TX,3554.88,153,,,,MISSING_STATES
2016,Cancer,TX,3585.16,153,3554.88,30.28,0.85,MISSING_STATES
2020,Cancer,TX,68.56,36,3585.16,-3516.6,-98.09,VALID
2022,Cancer,TX,58.62,26,68.56,-9.94,-14.5,VALID
2019,Cardiovascular Disease,TX,2531.26,201,,,,VALID
2020,Cardiovascular Disease,TX,4107.48,123,2531.26,1576.22,62.27,MISSING_STATES
2021,Cardiovascular Disease,TX,2613.07,201,4107.48,-1494.41,-36.38,VALID
2019,Diabetes,TX,1286.68,77,,,,VALID
2020,Diabetes,TX,1801.2,80,1286.68,514.52,39.99,VALID
2021,Diabetes,TX,1960.56,78,1801.2,159.36,8.85,VALID
2022,Diabetes,TX,13.74,18,1960.56,-1946.82,-99.3,LOW_RECORDS
2019,Asthma,US,316.25,45,,,,VALID
2020,Asthma,US,341.89,49,316.25,25.64,8.11,VALID
2021,Asthma,US,309.48,46,341.89,-32.41,-9.48,VALID
2022,Asthma,US,10.37,23,309.48,-299.11,-96.65,LOW_RECORDS
2015,Cancer,US,32047.38,159,,,,MISSING_STATES
2016,Cancer,US,31866.51,159,32047.38,-180.87,-0.56,MISSING_STATES
2020,Cancer,US,73.28,31,31866.51,-31793.23,-99.77,VALID
2022,Cancer,US,61.33,36,73.28,-11.95,-16.31,VALID
2019,Cardiovascular Disease,US,35608.53,199,,,,VALID
2020,Cardiovascular Disease,US,52529.38,132,35608.53,16920.85,47.52,MISSING_STATES
2021,Cardiovascular Disease,US,35331.1,201,52529.38,-17198.28,-32.74,VALID
2019,Diabetes,US,12422.02,93,,,,VALID
2020,Diabetes,US,17259.02,92,12422.02,4837.0,38.94,VALID
2021,Diabetes,US,17068.73,96,17259.02,-190.29,-1.1,VALID
2022,Diabetes,US,13.13,23,17068.73,-17055.6,-99.92,LOW_RECORDS
2019,Asthma,UT,10.38,20,,,,VALID
2020,Asthma,UT,12.25,20,10.38,1.87,18.02,VALID
2021,Asthma,UT,10.56,20,12.25,-1.69,-13.8,VALID
2022,Asthma,UT,11.55,16,10.56,0.99,9.38,LOW_RECORDS
2015,Cancer,UT,432.68,126,,,,MISSING_STATES
2016,Cancer,UT,438.07,126,432.68,5.39,1.25,MISSING_STATES
2020,Cancer,UT,68.4,22,438.07,-369.67,-84.39,VALID
2022,Cancer,UT,59.81,16,68.4,-8.59,-12.56,VALID
2019,Cardiovascular Disease,UT,246.64,165,,,,VALID
2020,Cardiovascular Disease,UT,396.54,102,246.64,149.9,60.78,MISSING_STATES
2021,Cardiovascular Disease,UT,248.48,178,396.54,-148.06,-37.34,VALID
2019,Diabetes,UT,150.36,63,,,,VALID
2020,Diabetes,UT,194.34,66,150.36,43.98,29.25,VALID
2021,Diabetes,UT,195.57,70,194.34,1.23,0.63,VALID
2022,Diabetes,UT,10.73,15,195.57,-184.84,-94.51,LOW_RECORDS
2019,Asthma,VA,14.88,38,,,,VALID
2020,Asthma,VA,17.53,37,14.88,2.65,17.81,VALID
2021,Asthma,VA,14.08,39,17.53,-3.45,-19.68,VALID
2022,Asthma,VA,10.98,17,14.08,-3.1,-22.02,LOW_RECORDS
2015,Cancer,VA,1355.26,147,,,,MISSING_STATES
2016,Cancer,VA,1355.9,147,1355.26,0.64,0.05,MISSING_STATES
2020,Cancer,VA,73.05,36,1355.9,-1282.85,-94.61,VALID
2022,Cancer,VA,63.15,22,73.05,-9.9,-13.55,VALID
2019,Cardiovascular Disease,VA,978.22,188,,,,VALID
2020,Cardiovascular Disease,VA,1565.78,111,978.22,587.56,60.06,MISSING_STATES
2021,Cardiovascular Disease,VA,986.28,191,1565.78,-579.5,-37.01,VALID
2019,Diabetes,VA,349.05,70,,,,VALID
2020,Diabetes,VA,448.91,72,349.05,99.86,28.61,VALID
2021,Diabetes,VA,487.27,75,448.91,38.36,8.55,VALID
2022,Diabetes,VA,13.03,19,487.27,-474.24,-97.33,LOW_RECORDS
2019,Asthma,VI,,0,,,,VALID
2020,Asthma,VI,,0,,,,VALID
2021,Asthma,VI,5.83,9,,,,VALID
2022,Asthma,VI,11.02,6,5.83,5.19,89.02,LOW_RECORDS
2020,Cancer,VI,,0,,,,VALID
2022,Cancer,VI,54.04,14,,,,VALID
2019,Cardiovascular Disease,VI,,0,,,,VALID
2021,Cardiovascular Disease,VI,44.39,58,,,,VALID
2019,Diabetes,VI,,0,,,,VALID
2020,Diabetes,VI,17.03,4,,,,VALID
2021,Diabetes,VI,15.39,9,17.03,-1.64,-9.63,VALID
2022,Diabetes,VI,15.88,11,15.39,0.49,3.18,LOW_RECORDS
2019,Asthma,VT,14.32,12,,,,VALID
2020,Asthma,VT,15.61,14,14.32,1.29,9.01,VALID
2021,Asthma,VT,13.36,11,15.61,-2.25,-14.41,VALID
2022,Asthma,VT,13.61,14,13.36,0.25,1.87,LOW_RECORDS
2015,Cancer,VT,281.35,96,,,,MISSING_STATES
2016,Cancer,VT,279.36,96,281.35,-1.99,-0.71,MISSING_STATES
2020,Cancer,VT,72.93,18,279.36,-206.43,-73.89,VALID
2022,Cancer,VT,55.81,18,72.93,-17.12,-23.47,VALID
2019,Cardiovascular Disease,VT,176.26,117,,,,VALID
2020,Cardiovascular Disease,VT,319.58,62,176.26,143.32,81.31,MISSING_STATES
2021,Cardiovascular Disease,VT,190.79,119,319.58,-128.79,-40.3,VALID
2019,Diabetes,VT,149.25,30,,,,VALID
2020,Diabetes,VT,182.34,29,149.25,33.09,22.17,VALID
2021,Diabetes,VT,181.79,30,182.34,-0.55,-0.3,VALID
2022,Diabetes,VT,9.99,13,181.79,-171.8,-94.5,LOW_RECORDS
2019,Asthma,WA,14.75,36,,,,VALID
2020,Asthma,WA,16.79,38,14.75,2.04,13.83,VALID
2021,Asthma,WA,15.08,38,16.79,-1.71,-10.18,VALID
2022,Asthma,WA,11.32,21,15.08,-3.76,-24.93,LOW_RECORDS
2015,Cancer,WA,1175.26,153,,,,MISSING_STATES
2016,Cancer,WA,1148.46,156,1175.26,-26.8,-2.28,MISSING_STATES
2020,Cancer,WA,67.95,40,1148.46,-1080.51,-94.08,VALID
2022,Cancer,WA,60.18,28,67.95,-7.77,-11.43,VALID
2019,Cardiovascular Disease,WA,643.0,216,,,,VALID
2020,Cardiovascular Disease,WA,998.4,132,643.0,355.4,55.27,MISSING_STATES
2021,Cardiovascular Disease,WA,646.93,221,998.4,-351.47,-35.2,VALID
2019,Diabetes,WA,346.7,82,,,,VALID
2020,Diabetes,WA,429.17,82,346.7,82.47,23.79,VALID
2021,Diabetes,WA,477.26,83,429.17,48.09,11.21,VALID
2022,Diabetes,WA,11.5,23,477.26,-465.76,-97.59,LOW_RECORDS
2019,Asthma,WI,16.62,28,,,,VALID
2020,Asthma,WI,16.67,35,16.62,0.05,0.3,VALID
2021,Asthma,WI,16.4,30,16.67,-0.27,-1.62,VALID
2022,Asthma,WI,13.32,19,16.4,-3.08,-18.78,LOW_RECORDS
2015,Cancer,WI,972.31,129,,,,MISSING_STATES
2016,Cancer,WI,971.1,129,972.31,-1.21,-0.12,MISSING_STATES
2020,Cancer,WI,71.04,28,971.1,-900.06,-92.68,VALID
2022,Cancer,WI,62.75,20,71.04,-8.29,-11.67,VALID
2019,Cardiovascular Disease,WI,761.11,179,,,,VALID
2020,Cardiovascular Disease,WI,1187.12,111,761.11,426.01,55.97,MISSING_STATES
2021,Cardiovascular Disease,WI,734.32,187,1187.12,-452.8,-38.14,VALID
2019,Diabetes,WI,384.64,69,,,,VALID
2020,Diabetes,WI,523.78,70,384.64,139.14,36.17,VALID
2021,Diabetes,WI,523.48,70,523.78,-0.3,-0.06,VALID
2022,Diabetes,WI,11.16,19,523.48,-512.32,-97.87,LOW_RECORDS
2019,Asthma,WV,13.86,14,,,,VALID
