LocationDesc,LocationID,LocationAbbr,Topic,AvgPrevalance
Minnesota,27,MN,Cancer,839.85
New Mexico,35,NM,Cancer,334.97
Idaho,16,ID,Cardiovascular Disease,291.32
Iowa,19,IA,Asthma,11.5
Iowa,19,IA,Cardiovascular Disease,562.68
Iowa,19,IA,Diabetes,299.88
New Mexico,35,NM,Diabetes,182.14
Idaho,16,ID,Cancer,373.01
Minnesota,27,MN,Asthma,13.33
Minnesota,27,MN,Cardiovascular Disease,589.66
New Mexico,35,NM,Asthma,10.18
New Mexico,35,NM,Cardiovascular Disease,327.47
Idaho,16,ID,Asthma,10.84
Minnesota,27,MN,Diabetes,396.77
California,6,CA,Cancer,4173.51
Georgia,13,GA,Cancer,1452.44
Georgia,13,GA,Cardiovascular Disease,1389.81
Pennsylvania,42,PA,Cardiovascular Disease,2311.86
Pennsylvania,42,PA,Diabetes,750.08
Pennsylvania,42,PA,Asthma,20.15
Georgia,13,GA,Asthma,15.92
Georgia,13,GA,Diabetes,552.11
Pennsylvania,42,PA,Cancer,2274.39
California,6,CA,Asthma,35.1
California,6,CA,Cardiovascular Disease,3629.53
California,6,CA,Diabetes,1968.16
New Jersey,34,NJ,Cancer,1412.66
South Dakota,46,SD,Cancer,246.44
Nebraska,31,NE,Cancer,378.85
Connecticut,9,CT,Cardiovascular Disease,566.9
Nebraska,31,NE,Cardiovascular Disease,281.84
New Jersey,34,NJ,Asthma,16.75
New Jersey,34,NJ,Cardiovascular Disease,1560.59
South Dakota,46,SD,Asthma,9.55
South Dakota,46,SD,Diabetes,157.05
New Jersey,34,NJ,Diabetes,410.75
Connecticut,9,CT,Asthma,12.03
Nebraska,31,NE,Diabetes,196.49
South Dakota,46,SD,Cardiovascular Disease,218.4
Connecticut,9,CT,Cancer,634.89
Connecticut,9,CT,Diabetes,159.91
Nebraska,31,NE,Asthma,9.89
Massachusetts,25,MA,Cancer,1063.07
Massachusetts,25,MA,Cardiovascular Disease,938.83
Montana,30,MT,Asthma,12.68
Montana,30,MT,Cardiovascular Disease,236.14
Montana,30,MT,Diabetes,127.97
Massachusetts,25,MA,Asthma,14.55
Massachusetts,25,MA,Diabetes,281.24
Montana,30,MT,Cancer,302.26
Kansas,20,KS,Cancer,502.56
Kansas,20,KS,Diabetes,184.13
Kansas,20,KS,Cardiovascular Disease,422.58
Kansas,20,KS,Asthma,11.88
North Carolina,37,NC,Cancer,1559.78
North Carolina,37,NC,Cardiovascular Disease,1387.85
North Carolina,37,NC,Diabetes,594.98
North Carolina,37,NC,Asthma,15.22
Vermont,50,VT,Cancer,246.25
District of Columbia,11,DC,Cancer,167.99
District of Columbia,11,DC,Cardiovascular Disease,166.42
Vermont,50,VT,Cardiovascular Disease,211.88
Vermont,50,VT,Diabetes,150.48
District of Columbia,11,DC,Asthma,12.53
District of Columbia,11,DC,Diabetes,109.02
Vermont,50,VT,Asthma,14.27
Maryland,24,MD,Diabetes,408.47
Maryland,24,MD,Asthma,12.82
Maryland,24,MD,Cardiovascular Disease,826.35
Maryland,24,MD,Cancer,891.07
Colorado,8,CO,Cancer,673.46
Florida,12,FL,Cancer,3359.01
Delaware,10,DE,Asthma,10.98
Delaware,10,DE,Cardiovascular Disease,241.33
Delaware,10,DE,Diabetes,121.55
Florida,12,FL,Asthma,24.84
Florida,12,FL,Cardiovascular Disease,3808.72
Colorado,8,CO,Diabetes,325.24
Colorado,8,CO,Asthma,12.12
Delaware,10,DE,Cancer,272.3
Colorado,8,CO,Cardiovascular Disease,503.25
Florida,12,FL,Diabetes,1295.76
Missouri,29,MO,Diabetes,329.57
Missouri,29,MO,Cardiovascular Disease,1044.82
Missouri,29,MO,Cancer,1064.2
Missouri,29,MO,Asthma,12.65
Alaska,2,AK,Asthma,10.96
Virgin Islands,78,VI,Cardiovascular Disease,44.39
Virgin Islands,78,VI,Cancer,54.04
Alaska,2,AK,Cardiovascular Disease,109.81
Alaska,2,AK,Cancer,164.44
Alaska,2,AK,Diabetes,66.32
Virgin Islands,78,VI,Asthma,7.91
Virgin Islands,78,VI,Diabetes,15.89
New York,36,NY,Cancer,2770.13
Oregon,41,OR,Cancer,701.51
Illinois,17,IL,Cancer,1956.19
Illinois,17,IL,Cardiovascular Disease,1891.86
Illinois,17,IL,Diabetes,623.61
New York,36,NY,Asthma,29.4
New York,36,NY,Cardiovascular Disease,2739.0
New York,36,NY,Diabetes,858.79
Oregon,41,OR,Cardiovascular Disease,485.23
Illinois,17,IL,Asthma,20.34
Oregon,41,OR,Diabetes,317.04
Oregon,41,OR,Asthma,13.77
Arkansas,5,AR,Cancer,626.55
Maine,23,ME,Cancer,435.9
Maine,23,ME,Diabetes,163.04
Arkansas,5,AR,Cardiovascular Disease,643.81
Maine,23,ME,Cardiovascular Disease,351.33
Arkansas,5,AR,Diabetes,260.16
Maine,23,ME,Asthma,14.7
Arkansas,5,AR,Asthma,10.56
Oklahoma,40,OK,Diabetes,487.19
Oklahoma,40,OK,Cardiovascular Disease,651.92
Oklahoma,40,OK,Cancer,616.3
Oklahoma,40,OK,Asthma,12.98
Puerto Rico,72,PR,Cardiovascular Disease,51.0
Puerto Rico,72,PR,Cancer,84571.13
Puerto Rico,72,PR,Diabetes,16.03
Puerto Rico,72,PR,Asthma,11.28
Guam,66,GU,Cardiovascular Disease,41.61
Guam,66,GU,Diabetes,16.11
Guam,66,GU,Cancer,55.74
Guam,66,GU,Asthma,5.94
North Dakota,38,ND,Diabetes,115.88
Washington,53,WA,Asthma,14.89
Washington,53,WA,Cardiovascular Disease,726.98
Washington,53,WA,Diabetes,383.33
North Dakota,38,ND,Cancer,185.68
Washington,53,WA,Cancer,963.86
North Dakota,38,ND,Cardiovascular Disease,188.78
North Dakota,38,ND,Asthma,10.47
United States,59,US,Cancer,26407.24
United States,59,US,Cardiovascular Disease,39702.12
United States,59,US,Diabetes,14414.4
Virginia,51,VA,Cardiovascular Disease,1114.46
Virginia,51,VA,Diabetes,396.39
United States,59,US,Asthma,278.89
Virginia,51,VA,Asthma,14.88
Virginia,51,VA,Cancer,1143.63
Mississippi,28,MS,Cancer,649.13
Mississippi,28,MS,Asthma,11.02
Mississippi,28,MS,Cardiovascular Disease,723.24
Mississippi,28,MS,Diabetes,393.68
Utah,49,UT,Cancer,386.81
Alabama,1,AL,Asthma,12.3
Alabama,1,AL,Cardiovascular Disease,975.73
Utah,49,UT,Asthma,11.16
Utah,49,UT,Cardiovascular Disease,281.73
Utah,49,UT,Diabetes,168.93
Alabama,1,AL,Cancer,920.52
Alabama,1,AL,Diabetes,286.68
Indiana,18,IN,Asthma,14.14
Indiana,18,IN,Cardiovascular Disease,1066.2
Rhode Island,44,RI,Cardiovascular Disease,256.82
Rhode Island,44,RI,Diabetes,126.75
Rhode Island,44,RI,Asthma,13.93
Indiana,18,IN,Diabetes,509.2
Indiana,18,IN,Cancer,809.07
Rhode Island,44,RI,Cancer,275.09
Wyoming,56,WY,Cancer,180.0
Hawaii,15,HI,Cancer,293.43
Hawaii,15,HI,Cardiovascular Disease,209.69
Hawaii,15,HI,Diabetes,115.39
Wyoming,56,WY,Cardiovascular Disease,154.29
Wyoming,56,WY,Diabetes,111.81
Kentucky,21,KY,Diabetes,544.27
Wyoming,56,WY,Asthma,11.15
Kentucky,21,KY,Asthma,12.05
Kentucky,21,KY,Cancer,974.07
Hawaii,15,HI,Asthma,10.02
Kentucky,21,KY,Cardiovascular Disease,936.52
